Mines:
618,639,1,R,false,1
526,668,4,R,false,2
438,673,3,R,false,3
338,669,5,R,false,4
485,566,2,R,false,5
597,552,0,V,false,6
231,586,2,H,false,7
115,585,4,H,false,8
64,437,5,H,false,9
181,429,3,H,false,10
289,433,1,H,false,11
390,488,3,F,false,12
486,447,4,F,false,13
599,430,2,F,false,14
532,311,8,F,false,15
411,356,6,F,false,16
288,292,6,C,false,17
363,203,2,C,false,18
301,87,8,C,false,19
427,72,4,C,false,20
488,171,3,C,false,21
635,317,2,L,false,22
702,422,4,L,false,23
711,528,0,L,false,24
748,623,3,L,false,25
687,725,1,L,false,26
818,419,3,E,false,27
927,514,4,E,false,28
820,516,1,E,false,29
821,696,5,E,false,30
930,698,2,E,false,31

Routes:
1,6,14
1,6,1
1,6,5
2,6,24
1,23,24
1,23,22
1,24,25
1,25,26
2,26,1
1,31,30
2,30,26
2,31,28
2,30,29
1,29,28
2,28,27
2,27,23
1,1,2
2,2,3
2,3,4
1,4,7
1,7,8
2,8,9
1,10,9
1,10,11
2,11,7
1,12,11
1,12,5
2,5,3
1,12,13
1,13,14
1,22,14
1,15,14
1,15,16
1,15,13
1,12,16
1,16,11
1,16,17
1,17,10
2,17,9
1,16,18
1,18,17
1,18,19
1,19,20
1,20,21
1,21,18
1,20,18
1,21,15
2,29,24
2,29,25
